,state,stateMinWage,niMinPWage,niMaxPWage,ciMinPWage,ciMaxPWage,meanWage,medianWage,meanPhone,meanPhone15,meanToothpaste,meanRice,meanPen,laborPerDollar,phonePerDollar,laborPerPhone15,laborPerToothpaste,laborPerRice,laborPerPen,penny_j
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,160
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,161
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,162
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,163
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,164
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,165
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,166
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,167
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,168
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,169
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,170
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,171
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,172
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,173
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,174
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,175
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,176
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,177
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,178
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,179
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,180
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,181
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,182
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,183
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,184
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,185
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,186
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,187
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,188
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,189
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,190
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,191
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,192
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,193
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,194
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,195
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,196
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,197
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,198
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,199
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,200
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,201
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,202
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,203
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,204
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,205
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,206
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,207
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,208
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,209
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,210
